c_w,d_tresh,numGapJns,rep,spikeRate
1.2,0.8,0.88,2,81.9
1.4,0.8,1.22,0,1.18
1.4,0.8,1.07,1,96.1
1.4,0.8,0.96,2,1.26
1.6,0.8,1.02,0,1.0
1.6,0.8,0.92,1,0.96
1.6,0.8,1.08,2,84.44
1.8,0.8,0.99,0,0.98
1.8,0.8,0.93,1,85.56
1.8,0.8,0.93,2,97.6
2.0,0.8,0.97,0,85.1
2.0,0.8,1.01,1,1.0
2.0,0.8,0.98,2,80.3
2.2,0.8,1.07,0,109.88
2.2,0.8,1.0,1,0.92
2.2,0.8,1.11,2,90.32
2.4,0.8,0.92,0,1.22
2.4,0.8,1.07,1,90.26
2.4,0.8,0.96,2,0.78
2.6,0.8,1.16,0,88.64
2.6,0.8,0.99,1,4.72
2.6,0.8,0.81,2,83.92
2.8,0.8,0.96,0,89.66
2.8,0.8,0.91,1,95.38
2.8,0.8,0.9,2,80.98
3.0,0.8,1.12,0,0.78
3.0,0.8,0.86,1,90.1
3.0,0.8,0.94,2,87.52
3.2,0.8,0.96,0,92.14
3.2,0.8,1.04,1,1.14
3.2,0.8,1.15,2,93.9
3.4,0.8,1.13,0,1.34
3.4,0.8,1.04,1,1.0
3.4,0.8,0.94,2,0.78
3.6,0.8,1.11,0,95.46
3.6,0.8,0.95,1,106.8
3.6,0.8,1.07,2,103.44
3.8,0.8,0.96,0,3.76
3.8,0.8,1.12,1,0.94
3.8,0.8,0.95,2,89.66
0.0,0.9,0.0,0,1.54
0.0,0.9,0.0,1,83.66
0.0,0.9,0.0,2,3.38
0.2,0.9,1.32,0,0.76
0.2,0.9,1.2,1,78.6
0.2,0.9,1.31,2,93.68
0.4,0.9,1.32,0,16.58
0.4,0.9,1.15,1,83.86
0.4,0.9,1.3,2,0.66
0.6,0.9,1.31,0,1.5
0.6,0.9,1.39,1,103.5
0.6,0.9,1.22,2,93.52
0.8,0.9,1.38,0,102.42
0.8,0.9,1.31,1,2.12
0.8,0.9,1.34,2,88.28
1.0,0.9,1.19,0,82.92
1.0,0.9,1.29,1,81.44
1.0,0.9,1.23,2,1.06
1.2,0.9,1.26,0,80.16
1.2,0.9,1.31,1,1.04
1.2,0.9,1.18,2,92.82
1.4,0.9,1.22,0,80.84
1.4,0.9,1.26,1,87.96
1.4,0.9,1.21,2,85.8
1.6,0.9,1.36,0,1.1
1.6,0.9,1.33,1,90.56
1.6,0.9,1.18,2,2.24
1.8,0.9,1.19,0,0.86
1.8,0.9,1.35,1,97.36
1.8,0.9,1.18,2,9.54
2.0,0.9,1.27,0,0.62
2.0,0.9,1.35,1,89.58
2.0,0.9,1.3,2,0.96
2.2,0.9,1.39,0,1.1
2.2,0.9,1.25,1,81.98
2.2,0.9,1.29,2,91.68
2.4,0.9,1.19,0,0.88
2.4,0.9,1.34,1,91.36
2.4,0.9,1.31,2,92.68
2.6,0.9,1.28,0,78.92
2.6,0.9,1.32,1,93.96
2.6,0.9,1.16,2,2.78
2.8,0.9,1.27,0,1.0
2.8,0.9,1.3,1,95.3
2.8,0.9,1.07,2,82.06
3.0,0.9,1.29,0,71.0
3.0,0.9,1.12,1,0.6
3.0,0.9,1.26,2,95.34
3.2,0.9,1.46,0,2.8
3.2,0.9,1.29,1,105.64
3.2,0.9,1.2,2,2.26
3.4,0.9,1.18,0,78.94
3.4,0.9,1.09,1,3.26
3.4,0.9,1.45,2,95.36
3.6,0.9,1.32,0,97.08
3.6,0.9,1.33,1,93.3
3.6,0.9,1.31,2,1.4
3.8,0.9,1.21,0,0.54
3.8,0.9,1.17,1,0.7
3.8,0.9,1.02,2,0.92
0.0,1.0,0.0,0,85.14
0.0,1.0,0.0,1,79.88
0.0,1.0,0.0,2,82.5
0.2,1.0,1.51,0,2.28
0.2,1.0,1.49,1,80.72
0.2,1.0,1.63,2,69.72
0.4,1.0,1.49,0,76.08
0.4,1.0,1.72,1,79.1
0.4,1.0,1.48,2,75.32
0.6,1.0,1.49,0,1.14
0.6,1.0,1.69,1,98.64
0.6,1.0,1.32,2,0.8
0.8,1.0,1.56,0,3.46
0.8,1.0,1.53,1,80.14
0.8,1.0,1.58,2,84.36
1.0,1.0,1.28,0,78.68
1.0,1.0,1.52,1,83.46
1.0,1.0,1.61,2,0.66
1.2,1.0,1.95,0,3.66
1.2,1.0,1.62,1,0.94
1.2,1.0,1.3,2,68.72
1.4,1.0,1.34,0,1.52
1.4,1.0,1.63,1,0.74
1.4,1.0,1.75,2,0.88
1.6,1.0,1.53,0,1.34
1.6,1.0,1.73,1,92.08
1.6,1.0,1.62,2,0.72
1.8,1.0,1.53,0,0.66
1.8,1.0,1.56,1,80.74
1.8,1.0,1.62,2,93.92
2.0,1.0,1.63,0,1.2
2.0,1.0,1.56,1,91.4
2.0,1.0,1.55,2,91.24
2.2,1.0,1.52,0,2.26
2.2,1.0,1.62,1,0.86
2.2,1.0,1.54,2,102.84
2.4,1.0,1.78,0,83.8
2.4,1.0,1.52,1,79.38
2.4,1.0,1.44,2,73.5
2.6,1.0,1.63,0,98.42
2.6,1.0,1.65,1,94.44
2.6,1.0,1.34,2,80.2
2.8,1.0,1.48,0,0.48
