c_w,d_tresh,numGapJns,rep,spikeRate
2.6,0.4,0.0,0,25.38
2.6,0.4,0.0,1,26.88
2.6,0.4,0.0,2,23.7
2.8,0.4,0.0,0,25.62
2.8,0.4,0.0,1,26.9
2.8,0.4,0.0,2,25.86
3.0,0.4,0.0,0,25.82
3.0,0.4,0.0,1,25.38
3.0,0.4,0.0,2,27.46
3.2,0.4,0.0,0,24.0
3.2,0.4,0.0,1,26.2
3.2,0.4,0.0,2,23.72
3.4,0.4,0.0,0,25.46
3.4,0.4,0.0,1,26.16
3.4,0.4,0.0,2,26.3
3.6,0.4,0.0,0,25.74
3.6,0.4,0.0,1,26.36
3.6,0.4,0.0,2,26.18
3.8,0.4,0.0,0,25.76
3.8,0.4,0.0,1,23.92
3.8,0.4,0.0,2,26.22
0.0,0.5,0.0,0,24.0
0.0,0.5,0.0,1,25.04
0.0,0.5,0.0,2,26.0
0.2,0.5,0.0,0,25.62
0.2,0.5,0.0,1,23.4
0.2,0.5,0.0,2,24.28
0.4,0.5,0.0,0,26.74
0.4,0.5,0.0,1,25.58
0.4,0.5,0.0,2,24.54
0.6,0.5,0.0,0,23.74
0.6,0.5,0.0,1,26.38
0.6,0.5,0.0,2,25.8
0.8,0.5,0.0,0,26.18
0.8,0.5,0.0,1,25.74
0.8,0.5,0.0,2,27.2
1.0,0.5,0.0,0,26.88
1.0,0.5,0.0,1,26.7
1.0,0.5,0.0,2,25.76
1.2,0.5,0.0,0,26.8
1.2,0.5,0.0,1,25.98
1.2,0.5,0.0,2,27.4
1.4,0.5,0.0,0,26.0
1.4,0.5,0.0,1,25.72
1.4,0.5,0.0,2,27.6
1.6,0.5,0.0,0,25.74
1.6,0.5,0.0,1,21.86
1.6,0.5,0.0,2,26.04
1.8,0.5,0.0,0,25.74
1.8,0.5,0.0,1,25.72
1.8,0.5,0.0,2,26.34
2.0,0.5,0.0,0,26.64
2.0,0.5,0.0,1,24.0
2.0,0.5,0.0,2,24.46
2.2,0.5,0.0,0,24.02
2.2,0.5,0.0,1,25.22
2.2,0.5,0.0,2,21.56
2.4,0.5,0.0,0,27.4
2.4,0.5,0.0,1,25.74
2.4,0.5,0.0,2,25.94
2.6,0.5,0.0,0,25.72
2.6,0.5,0.0,1,26.04
2.6,0.5,0.0,2,27.34
2.8,0.5,0.0,0,24.6
2.8,0.5,0.0,1,27.02
2.8,0.5,0.0,2,26.0
3.0,0.5,0.0,0,27.78
3.0,0.5,0.0,1,25.62
3.0,0.5,0.0,2,26.0
3.2,0.5,0.0,0,23.52
3.2,0.5,0.0,1,26.0
3.2,0.5,0.0,2,26.92
3.4,0.5,0.0,0,24.68
3.4,0.5,0.0,1,26.08
3.4,0.5,0.0,2,26.02
3.6,0.5,0.0,0,25.74
3.6,0.5,0.0,1,26.4
3.6,0.5,0.0,2,26.0
3.8,0.5,0.0,0,27.22
3.8,0.5,0.0,1,26.98
3.8,0.5,0.0,2,26.08
0.0,0.6,0.0,0,24.36
0.0,0.6,0.0,1,24.94
0.0,0.6,0.0,2,27.26
0.2,0.6,0.0,0,26.1
0.2,0.6,0.0,1,27.54
0.2,0.6,0.0,2,26.5
0.4,0.6,0.0,0,27.06
0.4,0.6,0.0,1,24.94
0.4,0.6,0.0,2,23.52
0.6,0.6,0.0,0,25.12
0.6,0.6,0.0,1,26.4
0.6,0.6,0.0,2,26.84
0.8,0.6,0.0,0,26.46
0.8,0.6,0.0,1,26.54
0.8,0.6,0.0,2,25.98
1.0,0.6,0.0,0,21.78
1.0,0.6,0.0,1,26.12
1.0,0.6,0.0,2,18.26
1.2,0.6,0.0,0,25.88
1.2,0.6,0.0,1,25.22
1.2,0.6,0.0,2,26.32
1.4,0.6,0.0,0,25.74
1.4,0.6,0.0,1,25.14
1.4,0.6,0.0,2,26.08
1.6,0.6,0.0,0,25.08
1.6,0.6,0.0,1,24.0
1.6,0.6,0.0,2,21.96
1.8,0.6,0.0,0,23.5
1.8,0.6,0.0,1,26.48
1.8,0.6,0.0,2,26.7
2.0,0.6,0.0,0,26.02
2.0,0.6,0.0,1,26.6
2.0,0.6,0.0,2,27.12
2.2,0.6,0.0,0,25.22
2.2,0.6,0.0,1,24.7
2.2,0.6,0.0,2,25.28
2.4,0.6,0.0,0,26.32
2.4,0.6,0.0,1,25.84
2.4,0.6,0.0,2,25.26
2.6,0.6,0.0,0,23.96
2.6,0.6,0.0,1,25.88
2.6,0.6,0.0,2,25.74
2.8,0.6,0.0,0,25.74
2.8,0.6,0.0,1,25.1
2.8,0.6,0.0,2,26.74
3.0,0.6,0.0,0,24.18
3.0,0.6,0.0,1,25.74
3.0,0.6,0.0,2,24.94
3.2,0.6,0.0,0,25.44
3.2,0.6,0.0,1,18.88
3.2,0.6,0.0,2,25.94
3.4,0.6,0.0,0,27.16
3.4,0.6,0.0,1,26.26
3.4,0.6,0.0,2,25.68
3.6,0.6,0.0,0,25.34
3.6,0.6,0.0,1,25.9
3.6,0.6,0.0,2,24.34
3.8,0.6,0.0,0,25.92
3.8,0.6,0.0,1,25.66
3.8,0.6,0.0,2,26.02
0.0,0.7,0.0,0,25.48
0.0,0.7,0.0,1,26.44
0.0,0.7,0.0,2,26.84
0.2,0.7,0.0,0,25.64
0.2,0.7,0.0,1,25.68
0.2,0.7,0.0,2,25.02
0.4,0.7,0.0,0,27.18
0.4,0.7,0.0,1,27.16
0.4,0.7,0.0,2,23.86
0.6,0.7,0.0,0,25.66
0.6,0.7,0.0,1,27.3
0.6,0.7,0.0,2,23.52
0.8,0.7,0.0,0,27.2
0.8,0.7,0.0,1,24.32
0.8,0.7,0.0,2,26.92
1.0,0.7,0.0,0,26.4
1.0,0.7,0.0,1,26.0
1.0,0.7,0.0,2,26.64
1.2,0.7,0.0,0,25.72
1.2,0.7,0.0,1,25.86
1.2,0.7,0.0,2,23.88
1.4,0.7,0.0,0,27.34
1.4,0.7,0.0,1,27.42
1.4,0.7,0.0,2,24.04
1.6,0.7,0.0,0,25.5
1.6,0.7,0.0,1,26.84
1.6,0.7,0.0,2,26.44
1.8,0.7,0.0,0,25.54
1.8,0.7,0.0,1,27.44
1.8,0.7,0.0,2,25.66
2.0,0.7,0.0,0,26.0
2.0,0.7,0.0,1,25.36
2.0,0.7,0.0,2,25.5
2.2,0.7,0.0,0,25.74
2.2,0.7,0.0,1,27.6
2.2,0.7,0.0,2,25.48
2.4,0.7,0.0,0,26.86
2.4,0.7,0.0,1,24.8
2.4,0.7,0.0,2,25.4
2.6,0.7,0.0,0,23.9
2.6,0.7,0.0,1,27.3
2.6,0.7,0.0,2,27.18
2.8,0.7,0.0,0,26.2
2.8,0.7,0.0,1,27.04
2.8,0.7,0.0,2,24.24
3.0,0.7,0.0,0,24.98
3.0,0.7,0.0,1,24.02
3.0,0.7,0.0,2,26.0
3.2,0.7,0.0,0,27.32
3.2,0.7,0.0,1,25.88
3.2,0.7,0.0,2,24.14
3.4,0.7,0.0,0,27.06
3.4,0.7,0.0,1,24.18
3.4,0.7,0.0,2,26.0
3.6,0.7,0.0,0,23.82
3.6,0.7,0.0,1,27.64
3.6,0.7,0.0,2,23.72
3.8,0.7,0.0,0,23.92
3.8,0.7,0.0,1,24.04
3.8,0.7,0.0,2,23.28
0.0,0.8,0.0,0,25.54
0.0,0.8,0.0,1,26.5
0.0,0.8,0.0,2,27.0
0.2,0.8,0.0,0,25.74
0.2,0.8,0.0,1,27.36
0.2,0.8,0.0,2,26.32
0.4,0.8,0.0,0,26.66
0.4,0.8,0.0,1,25.76
0.4,0.8,0.0,2,24.96
0.6,0.8,0.0,0,26.0
0.6,0.8,0.0,1,25.78
0.6,0.8,0.0,2,24.8
0.8,0.8,0.0,0,23.88
0.8,0.8,0.0,1,27.76
0.8,0.8,0.0,2,25.48
1.0,0.8,0.0,0,24.94
1.0,0.8,0.0,1,24.54
1.0,0.8,0.0,2,26.36
1.2,0.8,0.0,0,26.06
1.2,0.8,0.0,1,23.9
1.2,0.8,0.0,2,0.26
1.4,0.8,0.0,0,26.28
1.4,0.8,0.0,1,27.46
1.4,0.8,0.0,2,25.86
1.6,0.8,0.0,0,25.48
1.6,0.8,0.0,1,27.44
1.6,0.8,0.0,2,26.76
1.8,0.8,0.0,0,23.96
1.8,0.8,0.0,1,26.0
1.8,0.8,0.0,2,11.98
2.0,0.8,0.0,0,25.48
2.0,0.8,0.0,1,23.4
2.0,0.8,0.0,2,25.74
2.2,0.8,0.0,0,26.7
2.2,0.8,0.0,1,25.74
2.2,0.8,0.0,2,26.0
2.4,0.8,0.0,0,26.7
2.4,0.8,0.0,1,24.06
2.4,0.8,0.0,2,23.76
2.6,0.8,0.0,0,26.68
2.6,0.8,0.0,1,25.76
2.6,0.8,0.0,2,26.96
2.8,0.8,0.0,0,26.38
2.8,0.8,0.0,1,26.0
2.8,0.8,0.0,2,25.54
3.0,0.8,0.0,0,21.76
3.0,0.8,0.0,1,25.9
3.0,0.8,0.0,2,26.76
3.2,0.8,0.0,0,25.74
3.2,0.8,0.0,1,27.48
3.2,0.8,0.0,2,26.28
3.4,0.8,0.0,0,26.04
3.4,0.8,0.0,1,24.54
3.4,0.8,0.0,2,24.18
3.6,0.8,0.0,0,25.78
3.6,0.8,0.0,1,0.26
3.6,0.8,0.0,2,24.18
3.8,0.8,0.0,0,25.62
3.8,0.8,0.0,1,24.0
3.8,0.8,0.0,2,25.74
0.0,0.9,0.0,0,26.02
0.0,0.9,0.0,1,25.56
0.0,0.9,0.0,2,26.88
0.2,0.9,0.0,0,26.0
0.2,0.9,0.0,1,26.12
0.2,0.9,0.0,2,26.72
0.4,0.9,0.0,0,0.52
0.4,0.9,0.0,1,25.92
0.4,0.9,0.0,2,26.48
0.6,0.9,0.0,0,26.16
0.6,0.9,0.0,1,21.74
0.6,0.9,0.0,2,27.16
0.8,0.9,0.0,0,26.06
0.8,0.9,0.0,1,25.72
0.8,0.9,0.0,2,25.74
1.0,0.9,0.0,0,23.72
1.0,0.9,0.0,1,23.48
1.0,0.9,0.0,2,25.68
1.2,0.9,0.0,0,27.12
1.2,0.9,0.0,1,26.76
1.2,0.9,0.0,2,23.62
1.4,0.9,0.0,0,24.0
1.4,0.9,0.0,1,26.54
1.4,0.9,0.0,2,25.48
1.6,0.9,0.0,0,23.54
1.6,0.9,0.0,1,23.84
1.6,0.9,0.0,2,25.76
1.8,0.9,0.0,0,26.02
1.8,0.9,0.0,1,26.9
1.8,0.9,0.0,2,26.4
2.0,0.9,0.0,0,26.22
2.0,0.9,0.0,1,27.7
2.0,0.9,0.0,2,23.48
2.2,0.9,0.0,0,25.88
2.2,0.9,0.0,1,25.7
2.2,0.9,0.0,2,23.68
2.4,0.9,0.0,0,25.48
2.4,0.9,0.0,1,23.76
2.4,0.9,0.0,2,26.96
2.6,0.9,0.0,0,23.86
2.6,0.9,0.0,1,26.16
2.6,0.9,0.0,2,25.74
2.8,0.9,0.0,0,27.24
2.8,0.9,0.0,1,25.94
2.8,0.9,0.0,2,27.5
3.0,0.9,0.0,0,25.9
3.0,0.9,0.0,1,26.0
3.0,0.9,0.0,2,23.52
3.2,0.9,0.0,0,25.48
3.2,0.9,0.0,1,27.78
3.2,0.9,0.0,2,24.78
3.4,0.9,0.0,0,27.34
3.4,0.9,0.0,1,22.18
3.4,0.9,0.0,2,25.22
3.6,0.9,0.0,0,24.26
3.6,0.9,0.0,1,25.06
3.6,0.9,0.0,2,24.98
3.8,0.9,0.0,0,25.7
3.8,0.9,0.0,1,26.82
3.8,0.9,0.0,2,27.28
0.0,1.0,0.0,0,26.32
0.0,1.0,0.0,1,25.96
0.0,1.0,0.0,2,26.18
0.2,1.0,2.0,0,0.3
0.2,1.0,2.0,1,22.22
0.2,1.0,2.0,2,6.26
0.4,1.0,2.0,0,0.0
0.4,1.0,2.0,1,0.0
0.4,1.0,2.0,2,0.0
0.6,1.0,2.0,0,0.0
0.6,1.0,2.0,1,0.0
0.6,1.0,2.0,2,0.0
0.8,1.0,2.0,0,0.0
0.8,1.0,2.0,1,0.0
0.8,1.0,2.0,2,0.0
1.0,1.0,2.0,0,0.0
1.0,1.0,2.0,1,0.0
1.0,1.0,2.0,2,0.0
1.2,1.0,2.0,0,0.0
1.2,1.0,2.0,1,0.0
1.2,1.0,2.0,2,0.0
1.4,1.0,2.0,0,0.0
1.4,1.0,2.0,1,0.0
1.4,1.0,2.0,2,0.0
